Plasma_Power_W,Cycles,Chuck_T_C,O2_Flow_sccm,Oxidant_Dose_s,point_1_nm,point_2_nm,point_3_nm,point_4_nm,Thickness_mean,source
300.0,100.0,250.0,10.0,20.0,30.87,34.75,42.82,36.92,36.34,OFAT
300.0,100.0,200.0,10.0,20.0,19.39,17.74,23.54,19.02,19.9225,OFAT
300.0,100.0,150.0,10.0,20.0,25.67,23.41,26.67,26.9,25.6625,OFAT
100.0,100.0,150.0,10.0,20.0,22.21,18.33,18.33,21.96,20.2075,OFAT
50.0,100.0,150.0,10.0,20.0,16.17,14.6,14.83,15.78,15.345,OFAT
20.0,100.0,150.0,10.0,20.0,14.41,14.24,14.23,14.18,14.265,OFAT
20.0,100.0,250.0,10.0,20.0,12.16,12.75,13.67,13.11,12.9225,OFAT
20.0,100.0,250.0,10.0,60.0,12.68,13.11,13.42,13.9,13.2775,OFAT
100.0,100.0,250.0,10.0,60.0,15.22,15.01,15.57,15.52,15.329999999999998,OFAT
300.0,50.0,250.0,10.0,60.0,8.05,7.73,7.73,7.91,7.855,OFAT
20.0,50.0,250.0,50.0,60.0,1.22,1.42,7.03,1.56,2.8075,OFAT
300.0,50.0,250.0,50.0,60.0,8.28,7.35,7.78,7.74,7.7875,OFAT
300.0,50.0,250.0,50.0,60.0,9.33,9.17,8.9,9.02,9.105,OFAT
100.0,50.0,250.0,50.0,60.0,7.64,7.88,7.63,7.79,7.734999999999999,OFAT
20.0,50.0,250.0,50.0,60.0,6.28,7.22,7.07,6.72,6.8225,OFAT
20.0,50.0,250.0,50.0,60.0,21.04,13.88,9.84,15.22,14.995,OFAT
20.0,57.0,250.0,50.0,60.0,15.01,14.83,11.65,14.61,14.025,OFAT
20.0,50.0,250.0,50.0,60.0,10.38,8.59,8.13,9.09,9.0475,OFAT
20.0,120.0,250.0,50.0,60.0,23.56,20.28,21.18,23.88,22.225,OFAT
20.0,120.0,250.0,50.0,60.0,27.55,25.12,23.16,27.91,25.935,OFAT
20.0,30.0,250.0,50.0,60.0,7.6,6.6,6.28,7.64,7.03,OFAT
20.0,55.0,250.0,50.0,60.0,14.52,14.42,10.38,14.81,13.5325,OFAT
20.0,120.0,250.0,50.0,60.0,28.83,22.59,21.52,28.22,25.29,OFAT
20.0,120.0,250.0,50.0,60.0,23.13,21.15,20.92,22.66,21.965,OFAT
20.0,120.0,250.0,50.0,60.0,25.94,21.32,21.2,23.87,23.082500000000003,OFAT
20.0,120.0,250.0,50.0,60.0,23.24,20.07,20.07,21.67,21.262500000000003,OFAT
20.0,100.0,250.0,50.0,60.0,18.49,17.67,17.22,17.93,17.8275,OFAT
20.0,100.0,250.0,50.0,60.0,18.9,16.27,16.46,17.75,17.345,OFAT
20.0,100.0,250.0,50.0,60.0,33.39,20.32,24.14,20.12,24.4925,OFAT
20.0,100.0,250.0,50.0,60.0,18.34,16.74,17.54,18.16,17.695,OFAT
20.0,100.0,250.0,50.0,60.0,17.68,16.09,16.13,17.36,16.814999999999998,OFAT
20.0,93.0,250.0,50.0,60.0,15.6,14.53,14.36,15.28,14.9425,OFAT
20.0,62.0,250.0,50.0,60.0,10.09,9.86,9.87,10.03,9.9625,OFAT
20.0,31.0,250.0,50.0,60.0,4.96,4.78,4.82,4.86,4.855,OFAT
20.0,5.0,250.0,50.0,60.0,0.93,0.98,0.99,2.05,1.2375,OFAT
20.0,10.0,250.0,50.0,60.0,2.09,1.92,1.98,2.12,2.0275,OFAT
20.0,20.0,250.0,50.0,60.0,3.75,3.43,3.56,3.4,3.535,OFAT
20.0,31.0,250.0,50.0,60.0,10.44,7.71,6.43,9.99,8.6425,OFAT
20.0,62.0,250.0,50.0,60.0,14.05,12.3,10.83,13.82,12.75,OFAT
20.0,93.0,250.0,50.0,60.0,18.15,16.47,15.55,17.69,16.965,OFAT
20.0,62.0,250.0,50.0,60.0,9.18,27.79,32.54,9.1,19.6525,OFAT
20.0,62.0,250.0,50.0,60.0,8.9,9.76,9.56,8.85,9.2675,OFAT
