Plasma_Power_W,Cycles,Chuck_T_C,O2_Flow_sccm,Oxidant_Dose_s,point_1_nm,point_2_nm,point_3_nm,point_4_nm,Thickness_mean,source,dopt_step,det_after
167,29,100,70,60,5.44,5.11,5.08,5.51,5.285,DOE,1,1.367574319658564e-59
167,150,100,70,20,31.82,27.66,27.68,31.63,29.6975,DOE,2,1.9895034240182195e-51
233,5,100,70,20,1.07,1.01,1.05,1.07,1.05,DOE,3,1.3850640909595406e-43
267,150,100,10,60,33.65,32.75,26.56,33.77,31.682500000000005,DOE,4,6.716739922355906e-36
133,5,100,10,47,1.07,1.05,1.02,1.11,1.0625,DOE,5,1.2094045945727886e-28
267,150,150,70,60,25.77,25.89,25.16,25.67,25.6225,DOE,6,1.564537836139675e-21
100,29,250,70,40,4.08,4.7,4.47,4.09,4.335,DOE,7,1.4386787115226893e-14
267,150,225,20,47,22.9,22.07,22.1,22.93,22.5,DOE,8,3.024302817418153e-08
300,5,150,10,27,1.08,1.07,1.02,1.04,1.0525000000000002,DOE,9,3.1859346462533937e-06
233,5,200,40,53,1.04,1.22,1.13,1.06,1.1124999999999998,DOE,10,4.145702879321451e-05
300,5,250,70,60,1.24,1.43,1.3,1.17,1.285,DOE,11,0.0003275181442041
233,150,250,60,60,21.95,21.88,21.5,22.24,21.8925,DOE,12,0.0012871392943037
100,150,175,50,60,25.24,25.79,25.04,25.41,25.37,DOE,13,0.0038653116353177
233,126,150,10,53,26.58,26.37,23.84,27.65,26.11,DOE,14,0.0064073252173242
100,78,250,10,60,10.96,10.99,10.89,12.36,11.3,DOE,15,0.0099522766137915
